0,1,2,3
1,Cobalt hexammine ion,Retinol-binding protein 3,13.25
2,Ammonium chloride,Cathepsin L1,12.63
3,Chloride ion,Chromobox protein homolog 5,11.11
4,Calcium carbimide,Phenylalanine--tRNA ligase alpha subunit,10.69
5,Chromic chloride,Calcium-dependent secretion activator 2,9.95
6,Calcium chloride,BoNT/A,9.73
7,Cobalt chloride,ATP-citrate synthase,9.38
8,2-Iminiopropanoate,Oxygen-insensitive NADPH nitroreductase,9.33
9,Chromic nitrate,Neurexin-1,9.28
10,Bismuth subnitrate,"HLA class II histocompatibility antigen, DRB1-15 beta chain",8.70
11,Aluminum hydroxide,Ribosomal small subunit pseudouridine synthase A,8.55
12,2-Chloro-6-Methyl-Aniline,Thymidine kinase,8.54
13,4-Imino-5-Methidyl-2-Methylpyrimidine,Clavaminate synthase 1,8.52
14,Biguanide,Protein P,8.49
15,"2-Ammoniobut-3-Enoate, 2-Amino-3-Butenoate",Stromelysin-1,8.48
16,"6-(Octahydro-1h-Indol-1-Ylmethyl)Decahydroquinazoline-2,4-Diamine",Membrane protein,8.46
17,Cyclohexylammonium Ion,Serine/threonine-protein kinase SIK2,8.46
18,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",Tyrosine-protein kinase CSK,8.45
19,3-Chloroalaninate,Inter-alpha-trypsin inhibitor heavy chain H1,8.41
20,beta-Isosparteine,Lantibiotic cinnamycin,8.41
21,(4R)-limonene,Excitatory amino acid transporter 1,8.40
22,Activated charcoal,"Triosephosphate isomerase, glycosomal",8.35
23,Ammonium lactate,Methylaspartate ammonia-lyase,8.33
24,Adamantane,"Apoptosis-inducing factor 1, mitochondrial",8.31
25,alpha-Pinene,cAMP-dependent protein kinase inhibitor alpha,8.30
26,Aminomethylcyclohexane,Pantothenate synthetase,8.28
27,"(4R)-7-Aza-7,8-dihydrolimonene","Glutaminase kidney isoform, mitochondrial",8.27
28,Chlormerodrin Hg-197,Thyroxine-binding globulin,8.27
29,Arginineamide,GDP-mannose 6-dehydrogenase,8.26
30,"2,4-Dinitrophenol",Pyruvate synthase,8.23
31,(+)-menthol,Low affinity immunoglobulin gamma Fc region receptor III-A,8.23
32,(R)-1-Para-Nitro-Phenyl-2-Azido-Ethanol,Protein-arginine deiminase type-1,8.20
33,Azidamfenicol,3-oxoacyl-[acyl-carrier-protein] synthase 1,8.19
34,Biapenem,Anoctamin-1,8.19
35,Alisporivir,Ribosomal protein S6 kinase alpha-4,8.17
36,Adamantanone,NADPH--cytochrome P450 reductase,8.16
37,2-Phenylheme,Hypoxanthine-guanine phosphoribosyltransferase,8.16
38,"(1S)-2-[(2S,5R)-2-(AMINOMETHYL)-5-PROP-1-YN-1-YLPYRROLIDIN-1-YL]-1-CYCLOPENTYL-2-OXOETHANAMINE",Carboxypeptidase E,8.16
39,beta-Pinene,"Polyhydroxybutyrate depolymerase, putative",8.13
40,Altretamine,Prostatic acid phosphatase,8.12
41,5-(Hydroxy-Methyl-Amino)-3-Methyl-Pyrrolidine-2-Carboxylic Acid,"Trans-2,3-dihydro-3-hydroxyanthranilate isomerase",8.12
42,Cyclopentamine,Tripartite terminase subunit 1,8.12
43,Beta-Amino Isobutyrate,Cytochrome f,8.12
44,6-Deoxyerythronolide B,Carboxypeptidase A1,8.10
45,9-(N-methyl-L-isoleucine)-cyclosporin A,"Mannosyl-oligosaccharide alpha-1,2-mannosidase",8.09
46,"3,5,6,8-Tetramethyl-N-Methyl Phenanthrolinium",DNA (cytosine-5)-methyltransferase 3B,8.09
47,"5-[Bis-2(Chloro-Ethyl)-Amino]-2,4-Dintro-Benzamide",Chorismate mutase AroH,8.09
48,Alcloxa,Flavodoxin,8.08
49,"(1S)-2-[(2S,5R)-2-(AMINOMETHYL)-5-ETHYNYLPYRROLIDIN-1-YL]-1-CYCLOPENTYL-2-OXOETHANAMINE",Insulin-like growth factor 1 receptor,8.08
50,"(2S)-2,3-Diaminobutanoic acid",5-phosphohydroxy-L-lysine phospho-lyase,8.08
51,cis-Diamminechlorocholylglycinateplatinum(II),60S ribosomal protein L4,8.07
52,Ajmaline,Cytidine deaminase,8.07
53,Ciraparantag,Glutamate dehydrogenase,8.06
54,Caryophyllene,Proteasome subunit alpha type-3,8.05
55,"2,3-dichloro-5,6-dicyanobenzoquinone",50S ribosomal protein L16,8.05
56,Antimony potassium tartrate,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC,8.05
57,Beta carotene,Succinate dehydrogenase iron-sulfur subunit,8.05
58,"2,6-Diamino-Hexanoic Acid Amide",Thioredoxin reductase,8.04
59,Bis(5-Amidino-Benzimidazolyl)Methane,Nucleoid-associated protein Lsr2,8.04
60,"(4e,8e,12z,16z)-N,N,4,8,13,17,21-Heptamethyldocosa-4,8,12,16,20-Pentaen-1-Amine","Glutamate receptor ionotropic, kainate 4",8.03
61,"2-[1-METHYLHEXYL]-4,6-DINITROPHENOL",Fatty-acid amide hydrolase 1,8.02
62,Bioallethrin,Leptin receptor,8.02
63,Aluminum chlorohydrate,Uracil-DNA glycosylase,8.02
64,3-Amino-Alanine,C4b-binding protein beta chain,8.01
65,Carbonate ion,"Naphthalene 1,2-dioxygenase subunit alpha",7.99
66,"4,5-Dimethyl-1,2-phenylenediamine",Holo-[acyl-carrier-protein] synthase,7.99
67,Camphene,MKL/myocardin-like protein 1,7.99
68,Bismuth subcitrate potassium,Ketimine reductase mu-crystallin,7.99
69,4-Oxoretinol,MAP kinase-activated protein kinase 2,7.99
70,"1,3-Dinitrobenzene",Substance-P receptor,7.98
71,beta-Sitosterol,P2Y purinoceptor 2,7.97
72,4-Imino-5-Methidyl-2-Trifluoromethylpyrimidine,"Acetolactate synthase, catabolic",7.97
